"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
2005,"CTL","SAXOPP","cap_ripe_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","fl_bbk_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","fl_bbk_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","fl_bds_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","fl_mat_f",20,2,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","fl_mat_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","fl_open_f",20,2,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","pd_elon_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","pt_fall_f",20,4,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","pt_sen_f",20,2,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","pt_sen_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"CTL","SAXOPP","veg_bbk",20,0,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","cap_deh",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","cap_imm_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","cap_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","cap_ripe_f",20,6,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","cap_ripe_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","fl_bbk_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","fl_bbk_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","fl_bds_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","fl_mat_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","fl_mat_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","fl_open_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","pd_elon_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","pt_fall_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","pt_sen_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","pt_sen_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2005,"OTC","SAXOPP","veg_bbk",20,0,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","cap_deh",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","cap_imm_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","cap_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","cap_ripe_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","cap_ripe_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","fl_bbk_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","fl_bbk_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","fl_bds_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","fl_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","fl_mat_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","fl_open_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","pd_elon_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","pt_fall_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","pt_sen_f",20,3,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","pt_sen_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"CTL","SAXOPP","veg_bbk",20,0,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","cap_deh",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","cap_imm_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","cap_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","cap_ripe_f",20,4,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","cap_ripe_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","fl_bbk_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","fl_bbk_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","fl_bds_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","fl_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","fl_mat_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","fl_open_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","pd_elon_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","pt_fall_f",20,5,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","pt_sen_f",20,8,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","pt_sen_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2009,"OTC","SAXOPP","veg_bbk",20,0,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
